City,Name,Cuisine,Neighborhood,Address,Website,Lat,Lon,Place_ID,Google_Maps_URL,Google_Name,OpenTableUrl
Atlanta,Yebo Beach Haus,Southern African,Buckhead,"56 E Andrews Dr NW Unit 7, Atlanta, GA 30305, USA",https://yebobeachhaus.com/,33.8429998,-84.3809992,ChIJG4N3NY8F9YgRG4qzlWEzwCE,https://maps.google.com/?cid=2432000292996483611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yebo Beach Haus,https://www.opentable.com/r/yebo-beach-haus-atlanta
Atlanta,The Garden Room,Contemporary American,Buckhead,"88 W Paces Ferry Rd NW, Atlanta, GA 30305, USA",https://thegardenroomatlanta.com/,33.8398483,-84.3826334,ChIJIxjn9p4F9YgRrCpi4OZ4aXU,https://maps.google.com/?cid=8460426307994528428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Garden Room,https://www.opentable.com/r/the-garden-room-atlanta
Atlanta,Lazy Betty,Contemporary American,Midtown,"999 Peachtree St NE Suite #140, Atlanta, GA 30309, USA",https://lazybettyatl.com/,33.7813991,-84.3836584,ChIJ00zCHiAH9YgR3l-kmURAKrM,https://maps.google.com/?cid=12910201945190588382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lazy Betty,https://www.opentable.com/r/lazy-betty-atlanta
Atlanta,The Alden,American,Chamblee,"5070 Peachtree Blvd Suite B-140, Chamblee, GA 30341, USA",https://www.thealdenrestaurant.com/,33.8886215,-84.3142095,ChIJcQQP0f8I9YgRcT4B7WbDPxU,https://maps.google.com/?cid=1531157245159620209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Alden,https://www.opentable.com/r/the-alden-chamblee
Atlanta,Little Sparrow,American,West Midtown,"1198 Howell Ml Rd #18, Atlanta, GA 30318, USA",https://littlesparrowatl.com/,33.7865629,-84.4123343,ChIJNRQAlwkF9YgReTrCZ-PLlmc,https://maps.google.com/?cid=7464377609971972729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Little Sparrow,https://www.opentable.com/r/little-sparrow-atlanta
Atlanta,The Optimist,Seafood,West Midtown,"914 Howell Ml Rd, Atlanta, GA 30318, USA",https://www.theoptimistrestaurant.com/,33.7798135,-84.4104515,ChIJr9PpEZME9YgRYg1YifCbOw8,https://maps.google.com/?cid=1097642391593553250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Optimist,https://www.opentable.com/the-optimist
Atlanta,Canoe,American,Vinings,"4199 Paces Ferry Rd SE, Atlanta, GA 30339, USA",https://www.canoeatl.com/,33.85974,-84.455173,ChIJJbthuA0Q9YgRLIGtr6ZLaOU,https://maps.google.com/?cid=16530545611547443500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Canoe,https://www.opentable.com/r/canoe-atlanta
Atlanta,Ray's on the River,Steak,Sandy Springs,"6700 Powers Ferry Rd NW, Sandy Springs, GA 30339, USA",https://raysontheriver.com/,33.900492,-84.440802,ChIJS56ZfdYR9YgRVCv-ZtCbooQ,https://maps.google.com/?cid=9557372678617049940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Ray's on the River,https://www.opentable.com/r/rays-on-the-river-sandy-springs
Atlanta,Mujō,Japanese,West Midtown,"691 14th St NW c, Atlanta, GA 30318, USA",https://www.mujoatl.com/,33.7861591,-84.4114224,ChIJIb9pCKMF9YgRWsQF-tZOGdI,https://maps.google.com/?cid=15139218307607282778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mujō,https://www.opentable.com/r/mujo-atlanta
Austin,Red Ash Italia,Italian,Downtown,"Colorado Tower, 303 Colorado St #200, Austin, TX 78701, USA",https://redashgrill.com/,30.2657022,-97.7449409,ChIJWfpBiwi1RIYRvg4iIbIE2go,https://maps.google.com/?cid=781942648408772286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Red Ash,https://www.opentable.com/r/red-ash-italia-austin
