City,Name,Cuisine,Neighborhood,Reason
Atlanta,Yebo Beach Haus,Southern African,Buckhead,Not found in Google Places
Atlanta,The Garden Room,Contemporary American,Buckhead,Not found in Google Places
Atlanta,Lazy Betty,Contemporary American,Midtown,Not found in Google Places
Atlanta,The Alden,American,Chamblee,Not found in Google Places
Atlanta,Little Sparrow,American,West Midtown,Not found in Google Places
Atlanta,The Optimist,Seafood,West Midtown,Not found in Google Places
Atlanta,Canoe,American,Vinings,Not found in Google Places
Atlanta,Ray's on the River,Steak,Sandy Springs,Not found in Google Places
Atlanta,Mujō,Japanese,West Midtown,Not found in Google Places
Austin,Red Ash Italia,Italian,Downtown,Not found in Google Places
Austin,Este,Contemporary Mexican,East Austin,Not found in Google Places
Austin,Comedor,Mexican,Downtown,Not found in Google Places
Austin,Clark's Oyster Bar - Austin,Seafood,Clarksville,Not found in Google Places
Austin,Hestia,Contemporary American,Downtown,Not found in Google Places
Austin,Suerte,Contemporary Mexican,East Austin,Not found in Google Places
Austin,Kemuri Tatsu-ya,Barbecue,East Austin,Not found in Google Places
Austin,La Condesa,Mexican,Downtown,Not found in Google Places
Austin,Emmer & Rye,American,Downtown,Not found in Google Places
Austin,Perla's Seafood and Oyster Bar,Seafood,South Congress,Not found in Google Places
Austin,OKO,Asian,East Austin,Not found in Google Places
Austin,Birdie's,Farm-to-table,East Austin,Not found in Google Places
Austin,Nixta Taqueria,Mexican,East Austin,Not found in Google Places
Baltimore,The Ruxton,Steakhouse,Harbor East,Not found in Google Places
Baltimore,Azumi,Japanese,Harbor East,Not found in Google Places
Baltimore,Cypriana - Homewood,Mediterranean,Hampden,Not found in Google Places
Baltimore,MARTA,Contemporary American,Upper Fells Point,Not found in Google Places
Baltimore,Amazonia,Peruvian,Mount Vernon Square,Not found in Google Places
Baltimore,Dauphine's,Contemporary American,Downtown,Not found in Google Places
Baltimore,Bresca,Contemporary French / American,U Street Corridor,Not found in Google Places
Baltimore,Xiquet by Danny Lledó,Spanish,Georgetown,Not found in Google Places
Baltimore,The Duck and the Peach,American,Capitol Hill,Not found in Google Places
Baltimore,Thip Khao,Laotian,Columbia Heights / Brightwood,Not found in Google Places
Baltimore,Elmina,African,U Street Corridor,Not found in Google Places
Baltimore,Causa,Peruvian,Shaw,Not found in Google Places
Baltimore,El Taller del Xiquet,Spanish,Georgetown,Not found in Google Places
Baltimore,Service Bar,Cocktail Bar,Mount Vernon Square,Not found in Google Places
Boston,Grill 23 & Bar,Steak,Back Bay,Not found in Google Places
Boston,Bistro du Midi,French,Back Bay,Not found in Google Places
Boston,The Banks Seafood and Steak,Seafood,Back Bay,Not found in Google Places
Boston,Toro,Tapas / Small Plates,South End,Not found in Google Places
