name,city,state,country,reason
Jimmy's Hideaway,Boston,MA,USA,Not found in Google Places
Winds Cafe,Cincinnati,OH,USA,Not found in Google Places
CRU,Nantucket,MA,USA,Not found in Google Places
Millie's Nantucket,Nantucket,MA,USA,Not found in Google Places
Seahorse,New York,NY,USA,Not found in Google Places
Seamore's Dumbo,New York,NY,USA,Not found in Google Places
Semma,New York,NY,USA,Not found in Google Places
Seeyamañana,New York,NY,USA,Not found in Google Places
Sempre Oggi,New York,NY,USA,Not found in Google Places
Sen Sakana,New York,NY,USA,Not found in Google Places
Senza Gluten,New York,NY,USA,Not found in Google Places
SEOUL SALON NYC,New York,NY,USA,Not found in Google Places
Seppe SI,New York,NY,USA,Not found in Google Places
Serendipity 3,New York,NY,USA,Not found in Google Places
Seoul BAP,New York,NY,USA,Not found in Google Places
Serendipity3 Times Square,New York,NY,USA,Not found in Google Places
Serpentine,New York,NY,USA,Not found in Google Places
Seven Sins,New York,NY,USA,Not found in Google Places
Shabu Tatsu,New York,NY,USA,Not found in Google Places
Shaking Crab - Williamsburg,New York,NY,USA,Not found in Google Places
Shiki Omakase,New York,NY,USA,Not found in Google Places
Shalom Japan,New York,NY,USA,Not found in Google Places
Shinji's,New York,NY,USA,Not found in Google Places
Shinn East,New York,NY,USA,Not found in Google Places
Shinpi Omakase,New York,NY,USA,Not found in Google Places
Shinzo Omakase,New York,NY,USA,Not found in Google Places
SHION 69 Leonard Street,New York,NY,USA,Not found in Google Places
Shiraz Kitchen & Wine Bar,New York,NY,USA,Not found in Google Places
Shirokuro,New York,NY,USA,Not found in Google Places
Shmoné,New York,NY,USA,Not found in Google Places
Shogun Omakase,New York,NY,USA,Not found in Google Places
Shoo Shoo,New York,NY,USA,Not found in Google Places
SHŌSH,New York,NY,USA,Not found in Google Places
Shuka,New York,NY,USA,Not found in Google Places
Shukette,New York,NY,USA,Not found in Google Places
Shoshin68,New York,NY,USA,Not found in Google Places
Shota Omakase,New York,NY,USA,Not found in Google Places
Siam Thai Eatery,New York,NY,USA,Not found in Google Places
Sicily,New York,NY,USA,Not found in Google Places
Sidecar at PJ Clarke's,New York,NY,USA,Not found in Google Places
Siena Ristorante Brooklyn,New York,NY,USA,Not found in Google Places
Sik Gaek,New York,NY,USA,Not found in Google Places
Simon,New York,NY,USA,Not found in Google Places
Similan on the Bay,New York,NY,USA,Not found in Google Places
Singlish,New York,NY,USA,Not found in Google Places
Sip & Guzzle,New York,NY,USA,Not found in Google Places
Sipsteria,New York,NY,USA,Not found in Google Places
Sirrah,New York,NY,USA,Not found in Google Places
Sisters,New York,NY,USA,Not found in Google Places
Sixty Three Clinton,New York,NY,USA,Not found in Google Places
Sixpoint Brewery Taproom,New York,NY,USA,Not found in Google Places
Skirt Steak,New York,NY,USA,Not found in Google Places
Sky Wise Lounge,New York,NY,USA,Not found in Google Places
Slate NY,New York,NY,USA,Not found in Google Places
Sloane's,New York,NY,USA,Not found in Google Places
Smithereens,New York,NY,USA,Not found in Google Places
Smith & Mills Rockefeller Center,New York,NY,USA,Not found in Google Places
SMØR,New York,NY,USA,Not found in Google Places
Smyth Tavern,New York,NY,USA,Not found in Google Places
Sociale,New York,NY,USA,Not found in Google Places
So & So's,New York,NY,USA,Not found in Google Places
Soda Club,New York,NY,USA,Not found in Google Places
Sofia's,New York,NY,USA,Not found in Google Places
Soft Bar + Cafe,New York,NY,USA,Not found in Google Places
Sofreh,New York,NY,USA,Not found in Google Places
Soju Haus,New York,NY,USA,Not found in Google Places
Soho Diner,New York,NY,USA,Not found in Google Places
Sol Et Soleil,New York,NY,USA,Not found in Google Places
Soledad,New York,NY,USA,Not found in Google Places
Somtum Der - East Village,New York,NY,USA,Not found in Google Places
Sonnyboy,New York,NY,USA,Not found in Google Places
SORA,New York,NY,USA,Not found in Google Places
SOOGIL,New York,NY,USA,Not found in Google Places
Soso's,New York,NY,USA,Not found in Google Places
Sotto La Luna,New York,NY,USA,Not found in Google Places
Sound + Fury Brewery and Kitchen,New York,NY,USA,Not found in Google Places
SourAji,New York,NY,USA,Not found in Google Places
Souvlaki GR Kouzina,New York,NY,USA,Not found in Google Places
SourAji West,New York,NY,USA,Not found in Google Places
Souvlaki GR Midtown,New York,NY,USA,Not found in Google Places
Spaghetti Incident,New York,NY,USA,Not found in Google Places
Speedy Romeo - Brooklyn,New York,NY,USA,Not found in Google Places
Souvlaki GR LES,New York,NY,USA,Not found in Google Places
Spice Mantra,New York,NY,USA,Not found in Google Places
Spice Symphony - 31st Lexington,New York,NY,USA,Not found in Google Places
Spicy Moon - Chelsea,New York,NY,USA,Not found in Google Places
Spice Symphony - Times Square,New York,NY,USA,Not found in Google Places
Split Eights,New York,NY,USA,Not found in Google Places
Spicy Moon Vegan East Village,New York,NY,USA,Not found in Google Places
Spicy Moon at Bowery,New York,NY,USA,Not found in Google Places
Spring Place,New York,NY,USA,Not found in Google Places
SPUNTO NYCThinCrust Pizza,New York,NY,USA,Not found in Google Places
SSAW Brooklyn,New York,NY,USA,Not found in Google Places
Spygold,New York,NY,USA,Not found in Google Places
Spicy Moon West Village,New York,NY,USA,Not found in Google Places
St Tropez West Village,New York,NY,USA,Not found in Google Places
St Mazie,New York,NY,USA,Not found in Google Places
St. Cloud Rooftop Bar,New York,NY,USA,Not found in Google Places
St. Jardim,New York,NY,USA,Not found in Google Places
Stafili Wine Cafe - Tribeca,New York,NY,USA,Not found in Google Places
St. Anselm,New York,NY,USA,Not found in Google Places
STK Meatpacking,New York,NY,USA,Not found in Google Places
Steak Frites,New York,NY,USA,Not found in Google Places
Steam,New York,NY,USA,Not found in Google Places
Stafili Wine Cafe,New York,NY,USA,Not found in Google Places
STK Midtown,New York,NY,USA,Not found in Google Places
Starchild Rooftop Bar & Lounge,New York,NY,USA,Not found in Google Places
Stone Street Tavern,New York,NY,USA,Not found in Google Places
Stout NYC Bryant Park,New York,NY,USA,Not found in Google Places
Stout NYC Financial District,New York,NY,USA,Not found in Google Places
Stout NYC Penn Station,New York,NY,USA,Not found in Google Places
Stout NYC Grand Central,New York,NY,USA,Not found in Google Places
Strange Delight,New York,NY,USA,Not found in Google Places
Studio 151,New York,NY,USA,Not found in Google Places
Stretch Pizza,New York,NY,USA,Not found in Google Places
Subject: A Cocktail Bar,New York,NY,USA,Not found in Google Places
Sullaluna,New York,NY,USA,Not found in Google Places
Sugar Monk,New York,NY,USA,Not found in Google Places
Sukh Thai,New York,NY,USA,Not found in Google Places
Studio Tropical,New York,NY,USA,Not found in Google Places
Sultan Mediterranean Cuisine,New York,NY,USA,Not found in Google Places
Sunday in Brooklyn,New York,NY,USA,Not found in Google Places
Sundays Well,New York,NY,USA,Not found in Google Places
Sunini,New York,NY,USA,Not found in Google Places
Sunsets at La Cantine,New York,NY,USA,Not found in Google Places
SUPERBUENO,New York,NY,USA,Not found in Google Places
Superiority Burger,New York,NY,USA,Not found in Google Places
Supper,New York,NY,USA,Not found in Google Places
Suram,New York,NY,USA,Not found in Google Places
Suram Sushi & Ramen,New York,NY,USA,Not found in Google Places
Sushi Ajjo,New York,NY,USA,Not found in Google Places
Sushi Amane,New York,NY,USA,Not found in Google Places
SUSHI ANN,New York,NY,USA,Not found in Google Places
Sushi Akira,New York,NY,USA,Not found in Google Places
Suprema Provisions,New York,NY,USA,Not found in Google Places
Sushi Aozora,New York,NY,USA,Not found in Google Places
Sushi by M - 4th St Omakase,New York,NY,USA,Not found in Google Places
Sushi Blossoms,New York,NY,USA,Not found in Google Places
Sushi by M - 5th Street Omakase,New York,NY,USA,Not found in Google Places
Sushi Gama,New York,NY,USA,Not found in Google Places
Sushi Ginza,New York,NY,USA,Not found in Google Places
Sushi By M - Upper East Side,New York,NY,USA,Not found in Google Places
Sushi Hayashi,New York,NY,USA,Not found in Google Places
Sushi Ishikawa- UES,New York,NY,USA,Not found in Google Places
Sushi Ishikawa- UWS,New York,NY,USA,Not found in Google Places
