name,city,state,country,address,website,lat,lon,place_id,google_maps_url,google_name
Seamore's Dumbo,New York,NY,USA,"66 Water St, Brooklyn, NY 11201, USA",https://www.seamores.com/location/dumbo/,40.7030931,-73.99133599999999,ChIJPaBpIjFawokRer0dGKw_BxE,https://maps.google.com/?cid=1227019431853276538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Seamore’s
Seahorse,New York,NY,USA,"201 Park Ave S, New York, NY 10003, USA",https://www.seahorsenyc.com/,40.7366094,-73.9885406,ChIJgcMuOv9ZwokRR1rQ8Ln0fvI,https://maps.google.com/?cid=17473672683690416711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Seahorse
Semma,New York,NY,USA,"60 Greenwich Ave, New York, NY 10011, USA",http://semma.nyc/,40.7360304,-74.0005639,ChIJxZmzO7hZwokRx2fls4uU4YU,https://maps.google.com/?cid=9647155204543834055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Semma
Seeyamañana,New York,NY,USA,"49 W 27th St, New York, NY 10001, USA",http://seeyamanananyc.com/,40.7453144,-73.9902255,ChIJ6xE152ZZwokRzOoCVDnMoXw,https://maps.google.com/?cid=8980683678548159180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,seeyamañana
Sempre Oggi,New York,NY,USA,"164 W 75th St, New York, NY 10023, USA",https://www.semprenyc.com/,40.7802763,-73.97988939999999,ChIJ25ryEZ5ZwokRNUaYyZc52_8,https://maps.google.com/?cid=18436392823656302133&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sempre Oggi
Sen Sakana,New York,NY,USA,"28 W 44th St, New York, NY 10036, USA",https://sensakana.com/,40.755032899999996,-73.981663,ChIJEb9X4P9YwokRQHgAN_yR_58,https://maps.google.com/?cid=11529094083532322880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sen Sakana
SEOUL SALON NYC,New York,NY,USA,"28 W 33rd St, New York, NY 10001, USA",https://seoulsalon.nyc/,40.7483116,-73.98662440000001,ChIJqdwhvD5ZwokRMjq-dG4AVm4,https://maps.google.com/?cid=7950542666574215730&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SEOUL SALON NYC
Senza Gluten,New York,NY,USA,"206 Sullivan St, New York, NY 10012, USA",http://www.senzaglutennyc.com/,40.7290773,-74.0003495,ChIJ03Ng85FZwokRAn7njPV6FfA,https://maps.google.com/?cid=17299868738663185922&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Senza Gluten
Seppe SI,New York,NY,USA,"225 Murray St, New York, NY 10282, USA",https://www.seppepizzabar.com/,40.715129999999995,-74.014798,ChIJ3XtEVaJbwokRydPyhK3PB_A,https://maps.google.com/?cid=17296021238106477513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Seppe Pizza Bar
Serendipity 3,New York,NY,USA,"225 E 60th St, New York, NY 10022, USA",http://www.serendipity3.com/,40.761848,-73.964894,ChIJ7VRAqalZwokR48bbQlnev8w,https://maps.google.com/?cid=14753755379244189411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Serendipity 3 - Upper East Side
