name,city,state,country,address,website,lat,lon,place_id,google_maps_url,google_name
Alternate Ending Beer Co.,Aberdeen Township,NJ,USA,"1057 NJ-34, Aberdeen Township, NJ 07747, USA",http://www.aebeer.com/,40.4015884,-74.2281789,ChIJE7Fx-AjNw4kRno1LYx6sk7w,https://maps.google.com/?cid=13588393747221810590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Alternate Ending Beer Co.
Lita,Aberdeen Township,NJ,USA,"1055 NJ-34, Aberdeen Township, NJ 07747, USA",http://thelovelylita.com/,40.4015722,-74.228525,ChIJ6Z4HnSnNw4kRG-FyEf5bg90,https://maps.google.com/?cid=15961702651103731995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lita
Big Country Beer Garden,Abilene,TX,USA,"806 S 2nd St, Abilene, TX 79602, USA",https://www.bigcountrybeergarden.com/,32.44763,-99.731585,ChIJ2UjEwBGPVoYRdV06qSqNJtM,https://maps.google.com/?cid=15215003605485116789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Big Country Beer Garden
Cork and Pig,Abilene,TX,USA,"2467 N Judge Ely Blvd, Abilene, TX 79601, USA",https://www.corkandpig.com/,32.4766181,-99.7066774,ChIJRbhe46-RVoYRhUiqEODQFJ8,https://maps.google.com/?cid=11463016612335601797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Cork And Pig Tavern Allen Ridge, Abilene"
Perini Ranch Steakhouse,Abilene,TX,USA,"3002 FM 89, Buffalo Gap, TX 79508, USA",http://www.periniranch.com/,32.2716559,-99.8440118,ChIJ4YxxYUb0VoYRVzT_Nne_U4o,https://maps.google.com/?cid=9967520919045747799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Perini Ranch Steakhouse
Taylor County Taphouse,Abilene,TX,USA,"4002 Catclaw Dr, Abilene, TX 79606, USA",http://www.taylorcountytaphouse.com/,32.4031351,-99.7747308,ChIJbWFDl0mMVoYRDkDIoyAH2lU,https://maps.google.com/?cid=6186264874914955278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Taylor County Taphouse
Inness,Accord,NY,USA,"10 Bank St, Accord, NY 12404, USA",https://inness.co/eat-drink/?utm_source=gmb&utm_medium=organic,41.7977455,-74.2305371,ChIJo-Cl1ULh3IkRSdvrAHgOYTs,https://maps.google.com/?cid=4278717029553003337&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Restaurant at INNESS
Myrth,Ada Township,MI,USA,"7423 River St SE, Ada, MI 49301, USA",https://www.myrthada.com/,42.9545299,-85.48472,ChIJRdo-j51RGIgRt4eYT18W68c,https://maps.google.com/?cid=14405632431687763895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Myrth
Greenway Table & Tap,Addison Il,IL,USA,"900 N Wood Dale Rd, Addison, IL 60101, USA",https://dupagegolf.com/greenway-tap/,41.9451889,-87.9789621,ChIJdTRUZw2zD4gRMo89BsAgG0c,https://maps.google.com/?cid=5123725010174578482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Greenway Table & Tap
Malia's Restaurant,Aiken,SC,USA,"120 Laurens St SW, Aiken, SC 29801, USA",http://www.maliasrestaurant.com/,33.560732,-81.722454,ChIJRb5xjAhN-IgRcDi3pBentz4,https://maps.google.com/?cid=4519264471079139440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Malia's
