City,Name,Cuisine,Neighborhood,OpenTable_URL
Atlanta,Yebo Beach Haus,Southern African,Buckhead,
Atlanta,The Garden Room,Contemporary American,Buckhead,https://www.opentable.com/r/the-garden-room-atlanta
Atlanta,Lazy Betty,Contemporary American,Midtown,https://www.opentable.com/r/lazy-betty-atlanta
Atlanta,The Alden,American,Chamblee,https://www.opentable.com/r/the-alden-chamblee
Atlanta,Little Sparrow,American,West Midtown,https://www.opentable.com/r/little-sparrow-atlanta
Atlanta,The Optimist,Seafood,West Midtown,
Atlanta,Canoe,American,Vinings,https://www.opentable.com/r/canoe-atlanta
Atlanta,Ray's on the River,Steak,Sandy Springs,https://www.opentable.com/r/rays-on-the-river-sandy-springs
Atlanta,Mujō,Japanese,West Midtown,https://www.opentable.com/r/mujo-atlanta
Austin,Red Ash Italia,Italian,Downtown,https://www.opentable.com/r/red-ash-italia-austin
Austin,Este,Contemporary Mexican,East Austin,https://www.opentable.com/r/este-austin
Austin,Comedor,Mexican,Downtown,https://www.opentable.com/r/comedor
Austin,Clark's Oyster Bar - Austin,Seafood,Clarksville,
Austin,Hestia,Contemporary American,Downtown,https://www.opentable.com/r/hestia-austin-2
Austin,Suerte,Contemporary Mexican,East Austin,https://www.opentable.com/r/suerte-austin
Austin,Kemuri Tatsu-ya,Barbecue,East Austin,https://www.opentable.com/r/kemuri-tatsu-ya-austin
Austin,La Condesa,Mexican,Downtown,https://www.opentable.com/r/il-brutto-austn
Austin,Emmer & Rye,American,Downtown,https://www.opentable.com/r/hestia-austin-2
Austin,Perla's Seafood and Oyster Bar,Seafood,South Congress,https://www.opentable.com/r/perlas-seafood-and-oyster-bar-austin
Austin,OKO,Asian,East Austin,https://www.opentable.com/r/oko-austin
Austin,Birdie's,Farm-to-table,East Austin,https://www.opentable.com/r/birdies-austin
Austin,Nixta Taqueria,Mexican,East Austin,https://www.opentable.com/r/nixta-taqueria-austin
Baltimore,The Ruxton,Steakhouse,Harbor East,https://www.opentable.com/r/the-ruxton-baltimore
Baltimore,Azumi,Japanese,Harbor East,https://www.opentable.com/r/ouzo-bay-baltimore
Baltimore,Cypriana - Homewood,Mediterranean,Hampden,https://www.opentable.com/r/cypriana-homewood-baltimore
Baltimore,MARTA,Contemporary American,Upper Fells Point,https://www.opentable.com/r/marta-baltimore
Baltimore,Amazonia,Peruvian,Mount Vernon Square,https://www.opentable.com/r/amazonia-washington
Baltimore,Dauphine's,Contemporary American,Downtown,https://www.opentable.com/r/dauphines-washington
Baltimore,Bresca,Contemporary French / American,U Street Corridor,https://www.opentable.com/r/bresca-washington
Baltimore,Xiquet by Danny Lledó,Spanish,Georgetown,https://www.opentable.com/r/xiquet-by-danny-lledo-washington
Baltimore,The Duck and the Peach,American,Capitol Hill,https://www.opentable.com/r/the-duck-and-the-peach-washington
Baltimore,Thip Khao,Laotian,Columbia Heights / Brightwood,https://www.opentable.com/r/thip-khao-washington
Baltimore,Elmina,African,U Street Corridor,https://www.opentable.com/r/elmina-washington
Baltimore,Causa,Peruvian,Shaw,https://www.opentable.com/r/causa-washington
Baltimore,El Taller del Xiquet,Spanish,Georgetown,https://www.opentable.com/r/el-estudio-xiquet-washington
Baltimore,Service Bar,Cocktail Bar,Mount Vernon Square,https://www.opentable.com/r/service-bar-washington
Boston,Grill 23 & Bar,Steak,Back Bay,https://www.opentable.com/r/grill-23-and-bar-boston
Boston,Bistro du Midi,French,Back Bay,https://www.opentable.com/r/the-banks-seafood-and-steak-boston
Boston,The Banks Seafood and Steak,Seafood,Back Bay,https://www.opentable.com/r/the-banks-seafood-and-steak-boston
Boston,Toro,Tapas / Small Plates,South End,https://www.opentable.com/r/toro-boston
Boston,Mahaniyom,Thai,Brookline,https://www.opentable.com/r/mahaniyom-brookline
Boston,Uni,Contemporary Asian,Back Bay,https://www.opentable.com/r/uni-boston
Boston,La Royal,Peruvian,Cambridge,https://www.opentable.com/r/la-royal-cambridge
Boston,Celeste,Peruvian,Somerville,https://www.opentable.com/r/celeste-somerville
Boston,Hemenway's,Seafood,Providence,https://www.opentable.com/r/bar-cino-brookline-ma-brookline
Boston,Waterman Grille,American,Providence,https://www.opentable.com/r/bar-cino-brookline-ma-brookline
Boston,Gracie's,Contemporary American,Providence,
Boston,Los Andes Restaurant,Peruvian,Providence,https://www.opentable.com/r/los-andes-restaurant-providence
Charleston,Oak Steakhouse - Charleston,Steakhouse,Downtown Charleston,
Charleston,Tempest,Contemporary American,Downtown Charleston,https://www.opentable.com/r/tempest-charleston
Charleston,Southbound,American,Downtown Charleston,
Charleston,Ma'am Saab,Pakistani,Downtown Charleston,https://www.opentable.com/r/maam-saab-charleston
Charlotte,La Belle Helene,French,Uptown,https://www.opentable.com/r/la-belle-helene-charlotte-2
Charlotte,Fin & Fino - Uptown Charlotte,Seafood,Uptown,https://www.opentable.com/r/fin-and-fino-uptown-charlotte
Charlotte,Customshop,Contemporary American,Elizabeth,https://www.opentable.com/r/rally-pickleball-charlotte
Charlotte,The Goodyear House,Southern,NODA,https://www.opentable.com/r/the-goodyear-house-charlotte
Charlotte,Rooster's Ballantyne,American,Ballantyne,https://www.opentable.com/r/roosters-wood-fired-kitchen-south-park-charlotte
Chicago,Alla Vita,Contemporary Italian,West Loop,https://www.opentable.com/r/alla-vita-chicago
Chicago,Mott Street,Central Asian,Bucktown / Wicker Park,
Chicago,Akahoshi Ramen,Japanese,Logan Square,https://www.opentable.com/r/akahoshi-ramen-chicago
Chicago,Mirra,Mexican,Bucktown / Wicker Park,https://www.opentable.com/r/mirra-chicago
Chicago,Fioretta,Steakhouse,West Loop,https://www.opentable.com/r/fioretta-chicago
Chicago,Momotaro,Japanese,West Loop,https://www.opentable.com/r/momotaro-chicago
Chicago,Daisies Chicago,American,Logan Square,https://www.opentable.com/r/radicle-chicago
Chicago,Boka,Contemporary American,Lincoln Park,https://www.opentable.com/r/boka-chicago
Chicago,avec West Loop,Mediterranean,West Loop,https://www.opentable.com/r/bar-avec
Chicago,Hawksmoor Chicago,Steakhouse,River North,https://www.opentable.com/r/hawksmoor-chicago
Chicago,Brasero,Contemporary American,West Town,https://www.opentable.com/r/brasero-chicago
Chicago,avec River North,Mediterranean,River North,https://www.opentable.com/r/bar-avec
Chicago,Chicago Cut Steakhouse,Steakhouse,River North,
Chicago,Kumiko,Dining Bar,West Loop,https://www.opentable.com/r/kumiko-chicago
Chicago,Asador Bastian,Steakhouse,River North,https://www.opentable.com/r/asador-bastian-chicago
Chicago,Thattu,Indian,Avondale,https://www.opentable.com/r/thattu-chicago
Chicago,The Publican,American,West Loop,https://www.opentable.com/r/the-publican-chicago
Chicago,Anelya,Ukrainian,Avondale,https://www.opentable.com/r/anelya-chicago
Chicago,Bronzeville Winery,Contemporary American,Bronzeville,
Chicago,Valhalla,Contemporary American,Bucktown / Wicker Park,https://www.opentable.com/r/mortons-the-steakhouse-white-plains
Chicago,After,Cocktail Bar,West Loop,https://www.opentable.com/r/sushi-san-lincoln-park-chicago
Chicago,Sepia,Contemporary American,West Loop,https://www.opentable.com/r/sepia-chicago
Chicago,Mariscos San Pedro,Mexican,Pilsen,https://www.opentable.com/r/mariscos-san-pedro-chicago
Chicago,Ever,American,West Loop,https://www.opentable.com/r/ever-chicago
Chicago,PERILLA steakhouse - Riverwalk,Korean,Downtown / Loop,
Chicago,Moody Tongue Brewing Company,Brewery,South Loop,https://www.opentable.com/r/moody-tongue-brewing-company-chicago
Chicago,Cariño,Latin American,Uptown,https://www.opentable.com/r/carino-chicago-2
Chicago,Khmai,Cambodian,North of Foster / Rogers Park,https://www.opentable.com/r/khmai-chicago
Cincinnati,Mita's Restaurant,Tapas / Small Plates,Cincinnati,https://www.opentable.com/r/mitas-cincinnati
Cincinnati,Five Kitchen and Bar,American,Over the Rhine,https://www.opentable.com/r/five-kitchen-and-bar-cincinnati
Cleveland,Flour | Moreland Hills,Italian,Moreland Hills,https://www.opentable.com/r/flour-moreland-hills
Cleveland,Blue Point Grille,Seafood,Downtown Cleveland,https://www.opentable.com/r/rosewood-grill-hudson
Cleveland,Edwins Restaurant,French,University Circle,https://www.opentable.com/r/friars-table-cleveland
Cleveland,DANTE,American,Tremont,https://www.opentable.com/r/dante-cleveland
Cleveland,GINKO,Sushi,Tremont,https://www.opentable.com/r/ginko-cleveland
Columbus,Butcher & Rose,Steakhouse,Columbus,https://www.opentable.com/r/butcher-and-rose-columbus
Columbus,Cento – German Village,Italian,German Village,
Columbus,Tucci's - Dublin,Steakhouse,Dublin,https://www.opentable.com/r/tuccis-dublin
Columbus,Del Mar – Easton,Mediterranean,Easton,https://www.opentable.com/r/del-mar-easton
Connecticut,Esh Modern Mediterranean - Fairfield,Mediterranean,Fairfield,https://www.opentable.com/r/little-owl-west-village
Connecticut,The North Fork Table & Inn,Contemporary American,Southold,
Dallas,Mister Charles,American,Knox / Henderson,https://www.opentable.com/r/mister-charles-dallas
Dallas,José,Contemporary Mexican,Park Cities,https://www.opentable.com/r/jose-dallas
Dallas,Nick & Sam's Steakhouse,Steakhouse,Uptown,
Dallas,Sister,Italian,Park Cities,https://www.opentable.com/r/sister-dallas
Dallas,Town Hearth,Steakhouse,Design District,https://www.opentable.com/r/town-hearth-dallas
Dallas,Tei-An,Japanese,Arts District,https://www.opentable.com/r/tei-tei-robata-bar-dallas
Dallas,El Carlos Elegante,Mexican,West Dallas,https://www.opentable.com/r/el-carlos-elegante-dallas
Denver,Tavernetta Denver,Italian,Downtown / LoDo,https://www.opentable.com/r/tavernetta-denver
Denver,Alma Fonda Fina,Contemporary Mexican,LoHi,https://www.opentable.com/r/alma-fonda-fina-denver
Denver,Rioja,Mediterranean,Downtown / LoDo,https://www.opentable.com/r/rioja-denver
